id,number of rooms,price(rub),metro,time(min),total area(м²),year of completion,living area(м²),kitchen area(м²),ceiling height(м),type of house,WC,apartment floor,total floors,readiness,num of elevators,type of elevators
278751117,1,9324000,Преображенская площадь,6,33.3,2022,36.2,18.1,2.7,Монолитный,1,2,3,Чистовая,0,пассажирский
284591442,2,15459779,Улица Горчакова,7,59.2,2023,27.8,15.0,3.0,Монолитный,1,8,16,Без отделки,1,пассажирский
285554865,3,17540817,Рассказовка,7,85.9,2024,37.0,18.1,3.0,Монолитный,2,13,21,Чистовая,1,пассажирский
280126587,2,22428000,Гражданская,10,62.3,2025,30.9,15.6,3.6,Монолитный,1,3,24,Без отделки,1,пассажирский
282881981,3,28059800,Октябрьское поле,14,91.4,2024,36.2,18.4,3.3,Монолитный,1,7,19,Без отделки,1,пассажирский
281590315,2,28000000,Студенческая,7,55.8,2023,36.2,22.8,3.1,Монолитный,1,19,41,Без отделки,2,пассажирский
278707980,3,28700000,Карамышевская,5,82.0,2023,36.2,13.7,3.1,Монолитный,1,27,46,Без отделки,4,пассажирский
285077703,2,29410424,Технопарк,6,72.2,2026,36.2,18.1,3.0,Монолитный,2,12,35,Без отделки,3,пассажирский
285674282,2,37458060,Филёвский парк,11,71.8,2024,36.2,18.1,3.2,Монолитный,2,8,17,Предчистовая,1,пассажирский
279442173,2,47000000,Улица 1905 года,6,58.0,2023,36.2,18.1,3.1,Монолитный,1,13,21,Чистовая,1,пассажирский
283964394,2,61120215,Алексеевская,10,110.3,2022,40.1,35.9,0.0,Монолитно-кирпичный,2,10,19,Черновая,1,грузовой
279712436,2,9629745,Бунинская аллея,9,39.0,2024,10.4,17.5,3.0,Монолитный,1,5,18,Без отделки,2,грузовой
282212864,2,13060000,Бутырская,10,24.76,2024,36.2,18.1,3.2,Монолитный,1,2,21,Без отделки,2,пассажирский
285639735,1,19136767,Нагатинская,4,49.21,2025,16.2,19.4,3.2,Монолитный,1,15,28,Предчистовая,2,пассажирский
284884268,2,25000000,Шелепиха,6,81.54,2024,27.9,28.4,3.0,Монолитно-кирпичный,2,26,51,Без отделки,4,пассажирский
257714772,2,25909632,Народное Ополчение,18,56.7,2023,32.7,10.9,3.1,Монолитный,1,6,43,Предчистовая,6,грузовой
284916962,2,29148900,Академическая,1,51.4,2025,12.1,24.1,3.0,Монолитный,1,3,19,Без отделки,1,пассажирский
285082338,2,59183800,Красные ворота,7,114.92,2023,19.3,38.6,3.2,Монолитный,2,4,19,Чистовая,7,грузовой
284916919,3,127288803,Киевская,13,74.7,2024,43.1,7.2,6.4,Монолитный,1,3,4,Чистовая,0,пассажирский
282785802,1,10553850,Аннино,3,42.3,2025,14.0,10.8,3.0,Монолитный,1,14,30,Без отделки,2,грузовой
279637662,2,12331958,Калитники,10,43.28,2024,36.2,18.1,3.0,Монолитно-кирпичный,1,2,21,Без отделки,1,пассажирский
285510018,2,13999999,Преображенская площадь,9,50.3,2022,36.2,18.1,3.1,Монолитный,1,6,9,Без отделки,2,пассажирский
264176328,1,19910880,Воронцовская,8,43.2,2023,36.2,18.1,3.5,Монолитный,1,19,34,Без отделки,2,пассажирский
285639710,2,24712037,Нагатинская,4,69.45,2025,28.2,20.8,3.2,Монолитный,2,11,30,Предчистовая,2,пассажирский
284315052,2,41500000,Краснопресненская,2,61.1,2024,36.2,18.1,3.1,Монолитный,1,5,20,Без отделки,1,пассажирский
285084166,3,42874000,Павелецкая,5,68.0,2022,23.2,23.3,3.1,Монолитный,1,10,13,Черновая,1,пассажирский
282786879,1,44880000,Китай-город,2,52.8,2022,26.0,18.1,3.0,Монолитно-кирпичный,1,3,8,Чистовая,1,пассажирский
282786891,2,62904600,Китай-город,2,105.9,2022,48.2,18.1,3.0,Монолитно-кирпичный,2,3,8,Предчистовая,1,пассажирский
269462308,1,147783265,Сретенский бульвар,5,86.11,2023,16.8,45.7,3.1,Монолитный,2,5,8,Чистовая,1,пассажирский
285445279,1,9600914,Некрасовка,9,38.5,2021,17.2,18.1,2.7,Монолитный,1,15,23,Чистовая,1,пассажирский
282413651,3,13796890,Ольховая,14,67.6,2024,50.5,18.1,2.7,Панельный,1,4,14,Без отделки,1,пассажирский
271161222,2,14033250,Давыдково,12,48.6,2020,34.5,18.1,4.2,Монолитный,1,2,21,С отделкой,1,пассажирский
282786086,2,14976000,Аннино,3,60.0,2025,28.4,11.1,3.0,Монолитный,1,5,30,Без отделки,2,грузовой
282681326,3,15040296,Ольховая,11,77.8,2025,56.2,18.1,2.7,Панельный,2,2,9,Без отделки,1,пассажирский
284502376,2,17995120,Калужская,8,48.4,2025,36.2,18.1,3.1,Монолитный,1,13,34,Без отделки,2,пассажирский
264100682,1,21211200,Калужская,18,43.2,2021,18.4,12.5,3.1,Монолитный,1,29,32,Предчистовая,2,грузовой
284510511,1,24877125,Аэропорт,12,40.5,2023,36.2,18.1,3.1,Монолитный,1,10,41,Предчистовая,4,пассажирский
284654244,3,32714494,Тёплый Стан,10,106.52,2023,36.2,18.1,3.1,Монолитно-кирпичный,2,6,14,Предчистовая,1,пассажирский
280275874,2,34988151,Серпуховская,9,67.89,2024,32.7,7.2,3.1,Монолитный,1,2,8,Черновая,2,пассажирский
284739314,2,36340438,Кутузовская,9,63.17,2025,24.2,21.8,3.1,Монолитный,1,7,13,Без отделки,2,пассажирский
267885086,2,150246768,Сретенский бульвар,5,115.7,2023,31.4,50.1,3.1,Монолитный,4,1,8,Чистовая,1,пассажирский
284916291,2,151981677,Спортивная,12,87.0,2024,14.6,35.6,3.2,Монолитный,1,2,6,Без отделки,1,пассажирский
279343222,2,10312266,Бунинская аллея,5,37.1,2024,9.9,16.8,3.0,Монолитный,1,19,19,Предчистовая,1,пассажирский
285445281,2,14529023,Некрасовка,12,55.6,2022,32.5,18.1,2.7,Монолитный,1,9,23,Чистовая,1,пассажирский
285838332,1,15556774,Электрозаводская,14,35.7,2025,14.7,11.7,3.1,Монолитный,1,5,21,Без отделки,1,пассажирский
277322989,1,15688000,Коломенская,4,37.0,2024,19.2,9.6,3.1,Монолитно-кирпичный,1,2,19,Без отделки,1,грузовой
284205584,2,37150400,Калужская,18,85.6,2021,42.5,18.9,3.1,Монолитный,2,13,32,Предчистовая,2,грузовой
281765502,2,39602068,Аэропорт,11,74.8,2021,36.2,6.5,3.1,Монолитный,2,2,41,Предчистовая,4,пассажирский
277903494,1,9075106,Бунинская аллея,5,35.9,2024,14.1,11.1,3.0,Монолитный,1,15,16,Без отделки,1,пассажирский
284580440,2,9939526,Бунинская аллея,15,40.5,2025,13.3,17.9,2.9,Монолитный,1,4,30,Без отделки,3,грузовой
273050075,2,13471017,Прокшино,2,40.6,2023,12.1,20.5,3.0,Монолитный,1,2,15,Чистовая,1,пассажирский
279911053,2,15537761,Озёрная,19,44.1,2025,36.2,18.3,3.0,Монолитный,1,5,23,Без отделки,1,пассажирский
283587551,1,15668380,Зорге,13,35.56,2023,10.6,16.9,3.2,Монолитный,1,11,21,Черновая,2,пассажирский
284916359,2,17991468,Электрозаводская,14,39.8,2025,12.0,18.1,3.1,Монолитный,1,13,17,Без отделки,1,пассажирский
258097961,2,22196257,Коломенская,4,67.6,2024,33.9,9.5,3.1,Монолитно-кирпичный,1,2,19,Без отделки,1,грузовой
282937165,3,45990000,Павелецкая,9,87.6,2025,48.7,33.9,3.1,Монолитный,2,6,24,Без отделки,1,пассажирский
273053966,1,9666966,Бунинская аллея,12,38.2,2023,14.8,11.3,3.0,Монолитный,1,19,23,Без отделки,1,пассажирский
283383916,1,12845118,Селигерская,11,35.46,2026,36.2,18.1,2.8,Монолитный,1,20,39,Без отделки,1,пассажирский
278559508,1,14834100,Народное Ополчение,11,59.1,2022,36.2,13.6,3.0,Монолитный,1,3,21,Без отделки,1,пассажирский
267885633,2,18829300,Народное Ополчение,11,72.7,2022,31.7,18.1,3.0,Монолитный,1,16,21,Без отделки,1,пассажирский
284234402,2,23300000,Калужская,8,66.4,2023,30.1,14.1,3.1,Монолитный,1,8,34,Без отделки,3,пассажирский
278834330,2,24000000,Марьина роща,8,65.14,2024,36.2,18.1,3.1,Монолитный,2,23,55,Без отделки,2,пассажирский
272091056,2,24966000,Селигерская,11,68.4,2021,44.9,18.1,3.0,Монолитный,1,36,39,Предчистовая,2,пассажирский
282823536,3,25716250,Зорге,13,65.24,2023,34.3,13.6,3.2,Монолитный,2,10,21,Черновая,2,пассажирский
285243989,2,68144365,Улица 1905 года,12,68.7,2022,32.4,16.3,3.1,Монолитный,1,3,17,Без отделки,1,пассажирский
285243992,1,83111742,Улица 1905 года,12,83.8,2022,16.5,44.2,3.1,Монолитный,1,8,17,Без отделки,1,пассажирский
285249561,4,140000000,Улица 1905 года,10,154.0,2023,110.0,20.0,3.0,Монолитный,3,12,21,Без отделки,1,пассажирский
285444379,1,8114319,Рассказовка,7,33.6,2024,10.8,18.1,3.0,Монолитный,1,10,20,Без отделки,1,пассажирский
272604766,2,9306955,Ольховая,15,41.3,2022,23.4,5.0,2.8,Монолитный,1,12,17,Без отделки,1,пассажирский
285444486,2,12128389,Рассказовка,5,71.4,2024,32.0,18.1,3.0,Монолитный,2,5,22,Без отделки,1,пассажирский
285541986,2,13618560,Рассказовка,2,57.8,2025,24.1,18.1,3.1,Монолитный,1,13,17,Чистовая,1,пассажирский
279911027,1,13621520,Озёрная,19,41.6,2025,36.2,14.0,3.0,Монолитный,1,2,23,Без отделки,1,пассажирский
283636383,2,13712397,Коптево,9,46.8,2023,38.1,3.7,3.1,Монолитный,1,9,10,Без отделки,1,пассажирский
283267812,1,14931000,Октябрьское поле,14,39.5,2024,36.2,12.9,3.3,Монолитный,1,9,19,Без отделки,1,пассажирский
267885838,1,16680000,Карамышевская,5,41.7,2023,36.2,13.8,3.1,Монолитный,1,38,46,Без отделки,1,пассажирский
282881974,2,20979200,Октябрьское поле,14,59.6,2024,36.2,24.2,3.3,Монолитный,1,5,19,Без отделки,1,пассажирский
284816592,2,21570108,Озёрная,19,64.3,2025,36.2,19.9,3.0,Монолитный,1,12,23,Без отделки,1,пассажирский
277477678,2,24185700,Карамышевская,5,69.3,2023,48.0,12.1,3.1,Монолитный,1,33,46,Без отделки,4,пассажирский
272604807,1,7771890,Ольховая,15,31.1,2022,12.0,7.3,2.8,Монолитный,1,11,15,Без отделки,1,пассажирский
282613084,2,11869800,Ольховая,9,55.3,2022,35.6,18.1,2.8,Панельный,1,2,14,Чистовая,1,пассажирский
281570157,2,12257000,Ольховая,10,59.5,2025,38.4,18.1,2.7,Панельный,1,5,7,Без отделки,1,пассажирский
285438176,1,12255941,Рассказовка,2,48.5,2023,16.6,18.1,3.1,Монолитный,1,2,12,Без отделки,1,пассажирский
276788263,1,17134650,Кунцевская,10,37.7,2021,24.1,18.1,3.0,Монолитный,1,5,24,Черновая,1,пассажирский
285707153,2,18350000,Тёплый Стан,10,69.26,2023,36.2,18.1,3.1,Монолитно-кирпичный,1,4,14,Предчистовая,1,пассажирский
276571207,2,21831315,Кунцевская,10,54.3,2021,28.8,18.1,3.0,Монолитный,1,10,24,Черновая,1,пассажирский
285084151,2,37609440,Павелецкая,5,83.8,2022,18.7,33.8,3.1,Монолитный,2,11,13,Черновая,1,пассажирский
285779983,2,120575161,Киевская,13,65.5,2024,47.2,4.7,6.4,Монолитный,1,3,4,Чистовая,0,пассажирский
281043154,1,7653312,Ольховая,11,41.2,2025,20.3,18.1,2.7,Панельный,1,2,14,Чистовая,1,пассажирский
281159647,1,8451259,Ольховая,14,33.2,2024,16.5,18.1,2.7,Панельный,1,8,8,Чистовая,1,пассажирский
282613112,1,8821450,Ольховая,9,37.2,2022,17.7,18.1,2.8,Панельный,1,15,15,Чистовая,1,пассажирский
282721885,2,11308226,Ольховая,14,51.1,2024,29.4,18.1,2.7,Панельный,1,8,8,Чистовая,1,пассажирский
282716626,1,13400000,Тёплый Стан,10,47.52,2023,36.2,18.1,3.1,Монолитно-кирпичный,1,10,14,Предчистовая,1,пассажирский
275692348,2,31855582,Серпуховская,9,68.5,2020,36.2,18.1,3.2,Монолитный,1,26,29,Без отделки,2,пассажирский
283557776,2,38000000,Тульская,5,94.2,2016,36.2,18.1,3.1,Монолитно-кирпичный,2,7,8,С отделкой,1,пассажирский
285451946,1,16500000,Преображенская площадь,3,43.9,2024,18.5,11.6,3.2,Монолитный,1,8,17,Без отделки,1,пассажирский
284893235,2,24000000,Преображенская площадь,3,64.85,2024,34.7,11.4,3.2,Монолитный,2,8,17,Без отделки,1,пассажирский
284180563,3,45300000,Павелецкая,10,87.6,2025,52.1,9.8,3.1,Монолитный,3,6,24,Без отделки,1,пассажирский
284762237,4,120600000,Улица 1905 года,6,134.0,2023,80.0,20.0,3.1,Монолитный,2,12,21,Без отделки,1,пассажирский
285092480,1,6950000,Яхромская,14,35.25,2023,31.0,18.1,3.1,Монолитный,1,9,10,Чистовая,2,пассажирский
283694690,2,24000000,Беговая,6,66.3,2022,33.3,14.0,3.1,Панельный,2,18,25,Чистовая,3,пассажирский
283909068,2,14800000,Новохохловская,10,56.04,2022,33.0,19.0,3.1,Монолитный,2,4,24,Чистовая,2,пассажирский
285821494,2,28395000,Достоевская,8,63.1,2023,45.0,10.0,3.1,Монолитный,1,2,4,Без отделки,4,пассажирский
280637047,3,111500000,Улица 1905 года,7,119.49,2024,36.2,18.1,3.1,Монолитный,2,17,21,Без отделки,1,пассажирский
285697744,5,173000000,Улица 1905 года,7,190.0,2024,36.2,58.7,3.1,Монолитный,3,17,21,Без отделки,1,пассажирский
277675854,3,27000000,Рабочий посёлок,3,77.0,2023,51.0,21.0,3.1,Монолитный,2,6,30,Без отделки,2,пассажирский
276098041,2,38000000,Краснопресненская,23,53.1,2025,33.0,5.0,3.2,Монолитный,2,2,23,Без отделки,1,пассажирский
272040819,4,365000000,Маяковская,1,194.0,2023,36.2,54.3,3.1,Монолитный,3,8,9,Без отделки,1,пассажирский
285517084,1,8800000,Верхние Лихоборы,6,22.9,2023,15.4,3.6,3.1,Монолитный,1,13,21,Без отделки,1,пассажирский
270785005,1,7958412,Рижская,17,31.9,2023,15.2,9.7,2.6,Монолитный,1,7,21,Чистовая,3,пассажирский
274205506,1,8328297,Яхромская,7,32.7,2024,9.6,16.2,2.6,Монолитный,1,24,33,Чистовая,4,пассажирский
282516675,2,8836552,Владыкино,8,32.1,2025,19.8,4.2,2.6,Монолитный,1,2,17,Чистовая,2,пассажирский
277941224,1,8860680,Текстильщики,16,32.6,2024,10.6,12.6,2.6,Монолитный,1,15,17,Чистовая,2,пассажирский
285604964,1,8809160,Ольховая,17,31.08,2023,14.5,6.5,3.1,Монолитно-кирпичный,1,5,13,Без отделки,1,пассажирский
280318323,1,8910601,Черкизовская,12,32.3,2025,9.5,16.1,2.7,Монолитный,1,2,33,Чистовая,4,пассажирский
281409723,1,9423993,Черкизовская,9,32.4,2025,9.4,16.2,2.7,Монолитный,1,17,33,Чистовая,4,пассажирский
279435725,2,9573074,Красный Строитель,5,42.34,2025,27.8,5.5,2.7,Монолитный,1,2,33,Чистовая,4,пассажирский
282275788,1,9717500,Нижегородская,5,33.8,2024,9.8,16.8,2.6,Монолитный,1,2,23,Чистовая,3,пассажирский
285445583,1,9738284,Некрасовка,12,31.2,2022,13.2,18.1,2.7,Монолитный,1,22,22,Чистовая,1,пассажирский
284075365,1,10034700,Бабушкинская,6,40.3,2025,12.2,18.1,2.6,Монолитный,1,3,33,Чистовая,4,пассажирский
285445442,1,10205072,Некрасовка,13,35.0,2022,14.0,18.1,2.7,Монолитный,1,20,23,Чистовая,1,пассажирский
285445330,1,10394011,Некрасовка,12,38.1,2022,17.9,18.1,2.7,Монолитный,1,14,23,Чистовая,1,пассажирский
282275781,1,10646480,Текстильщики,19,35.3,2024,10.2,17.8,2.6,Монолитный,1,13,23,Чистовая,3,пассажирский
285604699,1,11025200,Ольховая,17,37.2,2023,12.2,11.4,3.1,Монолитно-кирпичный,1,10,13,Без отделки,1,пассажирский
273389612,1,11229216,Прокшино,12,32.5,2024,12.9,10.8,3.0,Монолитный,1,15,18,Без отделки,1,пассажирский
274205418,2,11240899,Яхромская,7,46.3,2024,21.8,15.3,2.6,Монолитный,1,26,33,Чистовая,4,пассажирский
284914962,1,11345750,Бутырская,8,32.5,2025,9.4,16.1,2.6,Панельный,1,2,33,Чистовая,4,пассажирский
284814296,2,11342230,Кантемировская,18,48.7,2025,22.6,16.6,2.6,Монолитный,1,9,23,Чистовая,3,пассажирский
284814196,2,11400670,Кантемировская,19,48.7,2025,22.6,16.6,2.6,Монолитный,1,22,33,Чистовая,4,пассажирский
280865538,1,11525880,Бабушкинская,6,41.7,2025,13.5,19.6,2.6,Монолитный,1,19,33,Чистовая,4,пассажирский
283153622,1,11555838,Волгоградский проспект,8,35.91,2026,11.7,16.3,2.6,Монолитный,1,31,38,Чистовая,4,пассажирский
284074490,2,11750707,Яхромская,7,46.4,2024,21.7,15.3,2.6,Монолитный,1,18,33,Чистовая,4,пассажирский
285083519,2,11669358,Владыкино,19,31.26,2024,8.3,13.4,2.9,Монолитный,1,2,31,Чистовая,2,грузовой
285444500,3,12880446,Рассказовка,5,75.2,2024,46.2,18.1,3.0,Монолитный,2,14,22,Без отделки,1,пассажирский
279788738,3,12774976,Пятницкое шоссе,4,72.3,2025,32.7,26.5,2.8,Монолитный,1,2,32,Чистовая,4,пассажирский
282208283,1,13299110,Тушинская,19,37.9,2025,15.4,8.7,3.0,Монолитный,1,29,43,Предчистовая,4,пассажирский
270796576,2,13263280,Кантемировская,20,52.3,2024,23.6,18.0,2.6,Монолитный,1,22,33,Чистовая,4,пассажирский
283153590,2,13701244,Волгоградский проспект,8,45.61,2026,21.3,14.8,2.6,Монолитный,1,5,38,Чистовая,4,пассажирский
285083522,1,13908618,Владыкино,19,37.06,2024,11.1,12.0,2.9,Монолитный,1,3,31,Чистовая,2,грузовой
271161225,2,13831125,Давыдково,12,47.9,2020,34.5,18.1,4.2,Монолитный,1,2,21,С отделкой,1,пассажирский
285463556,1,13916760,Площадь Ильича,12,28.6,2025,15.9,3.0,3.1,Монолитный,1,19,27,Без отделки,1,пассажирский
285083507,1,14007024,Владыкино,19,37.98,2024,10.8,12.0,2.9,Монолитный,1,2,31,Чистовая,2,грузовой
284889726,1,15090057,Шелепиха,9,32.5,2023,14.9,10.6,3.0,Монолитный,1,6,33,Без отделки,1,пассажирский
270246372,1,15426300,Петровский Парк,5,37.3,2024,36.2,18.1,3.1,Монолитный,1,1,8,Без отделки,1,пассажирский
274201998,1,15578073,Тушинская,5,34.23,2023,36.2,18.1,3.0,Монолитный,1,10,15,Черновая,1,пассажирский
284891202,2,15631478,Мичуринский проспект,13,35.3,2024,23.2,3.2,2.7,Монолитный,1,37,46,Без отделки,4,пассажирский
274078785,4,15949144,Бунинская аллея,17,77.1,2025,36.5,17.4,2.9,Монолитный,3,4,30,Без отделки,3,грузовой
285459528,2,15989400,Лесопарковая,6,56.7,2023,36.2,18.1,2.6,Панельный,1,8,26,Чистовая,3,пассажирский
285445518,3,16034052,Некрасовка,15,73.5,2022,42.0,18.1,2.7,Монолитный,2,5,23,Чистовая,1,пассажирский
272566537,2,16170060,Давыдково,12,49.8,2020,35.6,18.1,4.2,Монолитный,1,3,21,С отделкой,1,пассажирский
284889433,1,16210728,Шелепиха,9,35.0,2023,16.1,10.3,3.0,Монолитный,1,10,32,Без отделки,3,пассажирский
282913378,1,16301110,Тушинская,19,41.3,2025,15.0,11.2,3.0,Монолитный,1,22,27,Предчистовая,3,пассажирский
272949989,1,16403159,Дмитровская,5,36.89,2025,12.5,5.0,3.0,Монолитный,1,3,54,Предчистовая,3,пассажирский
284889023,1,16700451,Шелепиха,8,32.6,2023,15.3,10.7,3.0,Монолитный,1,28,32,Без отделки,3,пассажирский
284889470,2,16811397,Шелепиха,9,34.5,2023,21.1,4.7,3.0,Монолитный,1,11,32,Без отделки,3,пассажирский
285484894,1,17500000,Шелепиха,5,29.93,2019,36.2,18.1,3.0,Монолитно-кирпичный,1,15,32,Без отделки,3,пассажирский
285612928,1,17642464,Стрешнево,10,47.6,2023,16.6,16.9,3.1,Монолитный,2,2,21,Без отделки,1,пассажирский
285254961,1,17745760,Площадь Ильича,12,39.4,2025,12.6,16.9,3.1,Монолитный,1,23,27,Без отделки,1,пассажирский
283996634,1,17833943,Красный Балтиец,4,39.9,2025,14.5,16.6,3.0,Монолитный,1,18,20,Предчистовая,1,пассажирский
281909385,1,17790080,Шелепиха,6,28.88,2024,36.2,18.1,3.0,Монолитно-кирпичный,1,31,51,Без отделки,4,пассажирский
285710218,1,17965700,Спартак,7,47.45,2023,36.2,18.1,3.0,Монолитный,1,22,26,Черновая,3,пассажирский
285062437,2,17935778,Мичуринский проспект,10,37.4,2025,25.5,2.8,3.0,Монолитный,1,46,54,Без отделки,4,пассажирский
263173853,1,18075053,Марьина роща,8,40.32,2024,36.2,18.1,3.0,Монолитный,1,2,55,Предчистовая,4,пассажирский
285143186,2,18072897,Волгоградский проспект,6,62.1,2022,36.2,18.1,2.9,Монолитный,1,20,29,Предчистовая,1,пассажирский
282208423,1,19349720,Тушинская,19,50.8,2025,12.8,18.1,3.0,Монолитный,1,14,43,Чистовая,4,пассажирский
283423765,3,18336600,Бабушкинская,6,83.5,2025,40.9,27.9,2.6,Монолитный,1,11,33,Чистовая,4,пассажирский
285027173,2,18449295,Шелепиха,9,38.9,2023,36.2,18.1,3.0,Монолитный,1,27,32,Без отделки,3,пассажирский
276238950,1,18481260,Спартак,8,47.4,2023,36.2,18.1,3.0,Монолитный,1,15,25,Черновая,3,пассажирский
275573958,1,18477339,Рижская,14,43.61,2024,36.2,18.1,3.0,Монолитный,1,25,55,Предчистовая,4,пассажирский
265095741,2,18490000,Аминьевская,10,37.5,2022,36.2,18.1,3.0,Монолитный,1,25,27,Без отделки,3,пассажирский
282213025,1,18530000,Бутырская,10,35.38,2024,11.0,15.4,3.2,Монолитный,1,23,26,Без отделки,2,пассажирский
280318673,3,19140030,Волгоградский проспект,2,74.1,2025,34.3,24.6,2.6,Монолитный,2,14,28,Чистовая,4,пассажирский
270782047,3,19128500,Бутырская,3,57.1,2023,36.0,5.1,2.6,Монолитный,1,18,32,Предчистовая,4,пассажирский
285259514,2,19062713,Шелепиха,9,55.5,2023,16.9,22.9,3.0,Монолитный,1,5,32,Без отделки,3,пассажирский
269046259,2,19473300,Петровский Парк,5,46.4,2024,36.2,18.1,3.1,Монолитный,1,1,8,Без отделки,1,пассажирский
268415608,2,19938864,Тульская,13,42.44,2024,25.6,6.8,2.8,Монолитный,1,3,20,Без отделки,1,пассажирский
277323902,3,20058870,Свиблово,6,74.1,2025,34.3,24.6,2.7,Монолитный,2,25,33,Чистовая,4,пассажирский
284914723,3,20749840,Бутырская,7,72.4,2025,32.3,26.4,2.6,Панельный,2,7,33,Чистовая,4,пассажирский
285710240,2,20971200,Спартак,5,61.68,2023,36.2,18.1,3.0,Монолитный,1,2,18,Черновая,1,пассажирский
275072661,1,21238440,Шелепиха,6,29.58,2024,36.2,18.1,3.0,Монолитно-кирпичный,1,50,51,Без отделки,4,пассажирский
272090918,1,21229169,Селигерская,12,48.0,2023,36.2,18.1,4.2,Монолитный,1,34,43,Предчистовая,2,пассажирский
284916974,2,21359124,Академическая,1,34.5,2025,11.0,15.8,3.0,Монолитный,1,8,19,Без отделки,1,пассажирский
285255525,1,21693060,Шелепиха,14,45.6,2024,12.8,20.5,3.2,Монолитный,1,31,41,Без отделки,1,пассажирский
285255521,1,22115975,Шелепиха,14,43.0,2024,18.8,14.8,3.2,Монолитный,1,41,41,Без отделки,1,пассажирский
278582793,2,22135440,Воронцовская,6,44.7,2023,36.2,18.1,3.1,Монолитный,1,29,34,Предчистовая,2,пассажирский
270240582,2,23213266,Селигерская,12,60.1,2023,36.2,18.1,3.0,Монолитный,1,22,36,Чистовая,2,пассажирский
272950056,2,23335308,Дмитровская,5,61.88,2025,23.4,6.0,3.0,Монолитный,1,5,54,Предчистовая,3,пассажирский
283771975,2,23430680,Зорге,13,57.47,2023,23.5,19.9,3.2,Монолитный,2,2,21,Без отделки,2,пассажирский
272737389,2,23463936,Марьина роща,8,64.32,2024,36.2,18.1,3.0,Монолитный,1,30,55,Предчистовая,4,пассажирский
285143151,3,23547713,Волгоградский проспект,6,81.1,2022,36.2,19.0,2.9,Монолитный,2,16,29,Предчистовая,1,пассажирский
285689453,3,23925879,Шелепиха,9,67.1,2023,26.1,29.9,3.0,Монолитный,2,2,32,Без отделки,3,пассажирский
283996606,2,23904926,Красный Балтиец,4,64.5,2025,25.5,19.9,3.0,Монолитный,2,2,21,Предчистовая,1,пассажирский
273591542,2,23758500,Технопарк,15,47.0,2023,36.2,18.1,3.1,Монолитно-кирпичный,1,6,15,Без отделки,1,пассажирский
285084362,4,23997000,Кунцевская,3,84.2,2022,25.8,19.5,3.0,Монолитный,2,5,29,Чистовая,3,пассажирский
284889400,3,24260260,Шелепиха,9,67.8,2023,49.2,6.3,3.0,Монолитный,2,16,32,Без отделки,3,пассажирский
278696411,2,24394521,Тёплый Стан,10,75.63,2023,36.2,18.1,3.1,Монолитно-кирпичный,2,5,14,Предчистовая,1,пассажирский
280858966,2,24465182,Тульская,13,59.98,2024,24.7,22.2,2.8,Монолитный,1,2,20,Без отделки,1,пассажирский
285253804,1,24889500,Терехово,7,45.0,2025,14.6,17.3,3.1,Монолитный,1,10,21,Без отделки,1,пассажирский
285227759,2,25500000,Шелепиха,6,66.77,2024,25.4,20.8,3.0,Монолитно-кирпичный,2,29,51,Без отделки,4,пассажирский
284916957,2,25686247,Академическая,1,53.3,2025,17.3,23.0,3.0,Монолитный,1,9,19,Без отделки,1,пассажирский
282389396,2,26145900,Беговая,6,62.7,2022,36.2,18.1,2.8,Панельный,1,23,25,Чистовая,3,пассажирский
285612799,2,26374910,Стрешнево,9,73.9,2023,28.5,19.5,5.2,Монолитный,2,2,21,Без отделки,1,пассажирский
283996600,2,26391900,Красный Балтиец,4,68.2,2025,26.8,25.0,3.0,Монолитный,2,3,20,Предчистовая,1,пассажирский
272495470,2,26484570,Шелепиха,6,46.71,2024,36.2,18.1,3.0,Монолитно-кирпичный,1,33,51,Без отделки,4,пассажирский
284859736,4,26491807,Давыдково,4,93.64,2023,69.7,5.3,3.3,Монолитный,2,14,30,Без отделки,2,пассажирский
283996690,2,26915149,Красный Балтиец,4,68.7,2025,23.9,23.2,3.0,Монолитный,2,11,20,Предчистовая,1,пассажирский
279559406,2,27087803,Спартак,8,71.87,2023,36.2,18.1,3.0,Монолитный,2,9,25,Черновая,3,пассажирский
272090948,2,27507820,Селигерская,12,71.3,2023,36.2,18.1,4.2,Монолитный,2,40,43,Предчистовая,2,пассажирский
285027194,3,27504650,Шелепиха,9,59.4,2023,40.0,4.9,3.0,Монолитный,2,26,33,Без отделки,1,пассажирский
285253957,1,27655320,Терехово,13,46.2,2024,14.4,19.6,3.2,Монолитный,1,7,12,Чистовая с мебелью,1,пассажирский
285572670,3,28080347,Электрозаводская,14,68.5,2025,27.7,22.6,3.1,Монолитный,2,13,21,Без отделки,1,пассажирский
238073420,3,27947540,Зорге,13,65.5,2022,41.6,9.0,3.0,Монолитный,1,2,27,Предчистовая,3,пассажирский
285083272,2,28048500,Владыкино,17,67.75,2024,16.4,14.5,2.9,Монолитный,1,25,31,Без отделки,3,пассажирский
281641055,3,27868954,Тульская,14,68.8,2024,35.7,12.3,2.8,Монолитный,1,13,20,Без отделки,1,пассажирский
285254505,2,28496307,Терехово,7,58.1,2025,26.8,12.4,3.1,Монолитный,2,2,22,Без отделки,1,пассажирский
282211898,2,28537212,Тульская,14,61.17,2024,22.2,20.3,2.8,Монолитный,1,16,20,Без отделки,1,пассажирский
