id,number of rooms,price(rub),metro,time(min),total area(м²),year of completion,living area(м²),kitchen area(м²),ceiling height(м),type of house,WC,apartment floor,total floors,readiness,num of elevators,type of elevators
265095717,2,19010000,Аминьевская,10,45.1,2022,36.2,18.1,3.0,Монолитный,1,21,27,Без отделки,3,пассажирский
279911028,3,19167438,Озёрная,19,64.3,2025,36.2,19.9,3.0,Монолитный,1,2,23,Без отделки,1,пассажирский
281909424,1,20890000,Шелепиха,3,41.78,2024,36.2,18.1,3.0,Монолитно-кирпичный,1,12,14,Без отделки,1,пассажирский
273874744,2,22122180,Крымская,18,42.6,2023,36.2,18.1,3.3,Монолитный,1,22,42,Предчистовая,6,пассажирский
284916333,3,22279378,Электрозаводская,14,54.7,2025,23.9,21.2,3.1,Монолитный,1,13,17,Без отделки,1,пассажирский
271725923,3,29902884,Коломенская,4,83.6,2024,48.7,9.5,3.1,Монолитно-кирпичный,2,10,19,Без отделки,1,грузовой
281553031,2,30862080,Свиблово,10,68.4,2025,31.1,18.1,3.2,Монолитный,1,2,16,Предчистовая,1,грузовой
270240488,3,36773240,Селигерская,12,86.0,2023,36.2,5.8,4.2,Монолитный,2,43,43,Предчистовая,2,пассажирский
276147600,4,125000000,Фрунзенская,15,151.7,2024,106.0,13.0,3.3,Монолитный,2,8,14,Без отделки,1,пассажирский
280543689,3,172557849,Улица 1905 года,12,148.8,2022,59.8,38.3,3.1,Монолитный,1,12,17,Без отделки,1,пассажирский
280245573,1,9276723,Улица Горчакова,5,33.2,2025,11.0,13.4,2.9,Монолитный,1,8,10,Без отделки,1,грузовой
279637626,1,10414500,Калитники,10,35.71,2024,36.2,18.1,3.0,Монолитно-кирпичный,1,6,21,Без отделки,1,пассажирский
273053479,2,11191727,Прокшино,14,41.4,2024,12.2,20.0,3.0,Монолитный,1,2,15,Без отделки,1,пассажирский
284888927,2,12799170,Тушинская,20,44.8,2022,10.9,23.5,3.0,Монолитный,1,21,25,Без отделки,1,пассажирский
285445503,3,14407081,Некрасовка,15,58.8,2022,40.8,18.1,2.7,Монолитный,1,23,23,Чистовая,1,пассажирский
282212977,1,15960000,Бутырская,10,36.49,2024,11.6,17.0,3.2,Монолитный,1,14,26,Без отделки,2,пассажирский
285438392,3,15989594,Рассказовка,2,84.4,2025,37.3,18.1,3.1,Монолитный,2,6,9,Без отделки,1,пассажирский
285605012,2,16882160,Ольховая,17,63.19,2023,34.4,14.6,3.1,Монолитно-кирпичный,2,9,13,Без отделки,1,пассажирский
276754506,3,18079200,Народное Ополчение,11,74.4,2022,48.5,10.6,3.0,Монолитный,1,4,21,Без отделки,1,пассажирский
284832298,2,20377500,Коптево,7,65.0,2023,33.6,13.2,2.8,Монолитный,1,18,18,Без отделки,1,пассажирский
273735246,1,22148490,Хорошёво,19,42.7,2025,13.7,6.9,3.1,Монолитный,1,20,43,Предчистовая,5,грузовой
